id,department,classification,municipality,municipalCapital,latitude,longitude,altitude,northCoordinate,eastCoordinate,origin
146,ATLÁNTICO,MUNICIPIO,BARRANQUILLA (Distrito Especial. Industrial y Portuar,BARRANQUILLA,N10°59'28{COM},W74°47'36{COM},32,1707036,922134,BOGOTA
147,ATLÁNTICO,MUNICIPIO,BARANOA,BARANOA,N10°47'59{COM},W74°55' 6{COM},116,1685899,908413,BOGOTA
148,ATLÁNTICO,MUNICIPIO,CAMPO DE LA CRUZ,CAMPO DE LA CRUZ,N10°23' 6{COM},W74°53' 4{COM},7,1640011,912001,BOGOTA
149,ATLÁNTICO,MUNICIPIO,CANDELARIA,CANDELARIA,N10°27'46{COM},W74°53' 3{COM},13,1648615,912053,BOGOTA
150,ATLÁNTICO,MUNICIPIO,GALAPA,GALAPA,N10°53'59{COM},W74°53'25{COM},87,1696953,911511,BOGOTA
151,ATLÁNTICO,MUNICIPIO,JUAN DE ACOSTA,JUAN DE ACOSTA,N10°49'55{COM},W75° 2'13{COM},50,1689501,895451,BOGOTA
152,ATLÁNTICO,MUNICIPIO,LURUACO,LURUACO,N10°36'51{COM},W75° 8'47{COM},31,1665448,883397,BOGOTA
153,ATLÁNTICO,MUNICIPIO,MALAMBO,MALAMBO,N10°51'45{COM},W74°46'33{COM},10,1692804,924015,BOGOTA
154,ATLÁNTICO,MUNICIPIO,MANATÍ,MANATI,N10°27' 2{COM},W74°57'42{COM},10,1647285,903564,BOGOTA
155,ATLÁNTICO,MUNICIPIO,PALMAR DE VARELA,PALMAR DE VARELA,N10°44'40{COM},W74°45'17{COM},4,1679740,926294,BOGOTA
156,ATLÁNTICO,MUNICIPIO,PIOJÓ,PIOJO,N10°45' 6{COM},W75° 6'44{COM},250,1680647,887188,BOGOTA
157,ATLÁNTICO,MUNICIPIO,POLONUEVO,POLONUEVO,N10°46'51{COM},W74°51'29{COM},75,1683792,915000,BOGOTA
158,ATLÁNTICO,MUNICIPIO,PONEDERA,PONEDERA,N10°38'37{COM},W74°45'11{COM},8,1668585,926452,BOGOTA
159,ATLÁNTICO,MUNICIPIO,PUERTO COLOMBIA,PUERTO COLOMBIA,N10°59'25{COM},W74°57'38{COM},4,1706992,903856,BOGOTA
160,ATLÁNTICO,MUNICIPIO,REPELÓN,REPELON,N10°29'52{COM},W75° 7'41{COM},10,1652565,885361,BOGOTA
161,ATLÁNTICO,MUNICIPIO,SABANAGRANDE,SABANAGRANDE,N10°47'31{COM},W74°45'27{COM},6,1684995,926002,BOGOTA
162,ATLÁNTICO,MUNICIPIO,SABANALARGA,SABANALARGA,N10°38' 2{COM},W74°55'26{COM},99,1667555,907755,BOGOTA
163,ATLÁNTICO,MUNICIPIO,SANTA LUCÍA,SANTA LUCIA,N10°19'43{COM},W74°57'53{COM},7,1633796,903192,BOGOTA
164,ATLÁNTICO,MUNICIPIO,SANTO TOMÁS,SANTO TOMAS,N10°45'37{COM},W74°45'27{COM},6,1681492,925994,BOGOTA
165,ATLÁNTICO,MUNICIPIO,SOLEDAD,SOLEDAD,N10°55'26{COM},W74°46'16{COM},14,1699594,924546,BOGOTA
166,ATLÁNTICO,MUNICIPIO,SUAN,SUAN,N10°20' 8{COM},W74°53' 4{COM},7,1634541,911987,BOGOTA
167,ATLÁNTICO,MUNICIPIO,TUBARÁ,TUBARA,N10°52'40{COM},W74°58'57{COM},268,1694554,901420,BOGOTA
168,ATLÁNTICO,MUNICIPIO,USIACURÍ,USIACURI,N10°44'46{COM},W74°59' 3{COM},110,1679988,901195,BOGOTA
169,BOLIVAR,MUNICIPIO,CARTAGENA DE INDIAS (Distrito Turístico y Cultural),CARTAGENA,N10°23'59{COM},W75°30'53{COM},1,1641883,842973,BOGOTA
170,BOLIVAR,MUNICIPIO,ACHÍ,ACHI,N 8°34'14{COM},W74°33'26{COM},24,1439244,947563,BOGOTA
